query	raw_translation	translation
american cranberry	"['""vaccinium macrocarpon""[MeSH Terms] OR (""vaccinium""[All Fields] AND ""macrocarpon""[All Fields]) OR ""vaccinium macrocarpon""[All Fields] OR (""american""[All Fields] AND ""cranberry""[All Fields]) OR ""american cranberry""[All Fields]', '""vaccinium macrocarpon""[MeSH Terms] OR (""vaccinium""[All Fields] AND ""macrocarpon""[All Fields]) OR ""vaccinium macrocarpon""[All Fields] OR (""american""[All Fields] AND ""cranberry""[All Fields]) OR ""american cranberry""[All Fields]']"	['american cranberry', 'vaccinium macrocarpon']
american lobster	"['(""american""[All Fields] OR ""american s""[All Fields] OR ""americanization""[All Fields] OR ""americanized""[All Fields] OR ""americans""[All Fields]) AND (""lobster""[All Fields] OR ""lobster s""[All Fields] OR ""lobsters""[All Fields])', 'american[All Fields] AND lobster[All Fields]']"	['american lobster', 'american lobster s', 'american lobsters', 'american s lobster', 'american s lobster s', 'american s lobsters', 'americanization lobster', 'americanization lobster s', 'americanization lobsters', 'americanized lobster', 'americanized lobster s', 'americanized lobsters', 'americans lobster', 'americans lobster s', 'americans lobsters']
american pokeweed	"['(""american""[All Fields] OR ""american s""[All Fields] OR ""americanization""[All Fields] OR ""americanized""[All Fields] OR ""americans""[All Fields]) AND (""phytolacca americana""[MeSH Terms] OR (""phytolacca""[All Fields] AND ""americana""[All Fields]) OR ""phytolacca americana""[All Fields] OR ""pokeweed""[All Fields])', 'american[All Fields] AND (""phytolacca americana""[MeSH Terms] OR (""phytolacca""[All Fields] AND ""americana""[All Fields]) OR ""phytolacca americana""[All Fields] OR ""pokeweed""[All Fields])']"	['american phytolacca americana', 'american pokeweed', 'american s phytolacca americana', 'american s pokeweed', 'americanization phytolacca americana', 'americanization pokeweed', 'americanized phytolacca americana', 'americanized pokeweed', 'americans phytolacca americana', 'americans pokeweed']
american shad	"['(""american""[All Fields] OR ""american s""[All Fields] OR ""americanization""[All Fields] OR ""americanized""[All Fields] OR ""americans""[All Fields]) AND ""shad""[All Fields]', 'american[All Fields] AND shad[All Fields]']"	['american s shad', 'american shad', 'americanization shad', 'americanized shad', 'americans shad']
anacardium occidentale	"['""anacardium""[MeSH Terms] OR ""anacardium""[All Fields] OR (""anacardium""[All Fields] AND ""occidentale""[All Fields]) OR ""anacardium occidentale""[All Fields]', '""anacardium""[MeSH Terms] OR ""anacardium""[All Fields] OR (""anacardium""[All Fields] AND ""occidentale""[All Fields]) OR ""anacardium occidentale""[All Fields]']"	['anacardium', 'anacardium occidentale']
ananas comosus	"['(""ananas""[MeSH Terms] OR ""ananas""[All Fields] OR ""anana""[All Fields]) AND ""comosus""[All Fields]', '(""ananas""[MeSH Terms] OR ""ananas""[All Fields]) AND comosus[All Fields]']"	['anana comosus', 'ananas comosus']
anarhichas lupus	"['""anarhichas""[All Fields] AND (""lupus vulgaris""[MeSH Terms] OR (""lupus""[All Fields] AND ""vulgaris""[All Fields]) OR ""lupus vulgaris""[All Fields] OR ""lupus""[All Fields] OR ""lupus erythematosus, systemic""[MeSH Terms] OR (""lupus""[All Fields] AND ""erythematosus""[All Fields] AND ""systemic""[All Fields]) OR ""systemic lupus erythematosus""[All Fields])', 'anarhichas[All Fields] AND (""lupus vulgaris""[MeSH Terms] OR (""lupus""[All Fields] AND ""vulgaris""[All Fields]) OR ""lupus vulgaris""[All Fields] OR ""lupus""[All Fields] OR ""lupus erythematosus, systemic""[MeSH Terms] OR (""lupus""[All Fields] AND ""erythematosus""[All Fields] AND ""systemic""[All Fields]) OR ""systemic lupus erythematosus""[All Fields])']"	['anarhichas lupus', 'anarhichas lupus erythematosus systemic', 'anarhichas lupus erythematosus, systemic', 'anarhichas lupus vulgaris', 'anarhichas systemic lupus erythematosus']
anas platyrhynchos	"['(""ducks""[MeSH Terms] OR ""ducks""[All Fields] OR ""anas""[All Fields]) AND ""platyrhynchos""[All Fields]', '(""ducks""[MeSH Terms] OR ""ducks""[All Fields] OR ""anas""[All Fields]) AND platyrhynchos[All Fields]']"	['anas platyrhynchos', 'ducks platyrhynchos']
anatidae	"['""anatidae""[All Fields]', 'anatidae[All Fields]']"	['anatidae']
anchovy	"['""anchovies""[All Fields] OR ""anchovy""[All Fields]', 'anchovy[All Fields]']"	['anchovies', 'anchovy']
anethum graveolens	"['""anethum graveolens""[MeSH Terms] OR (""anethum""[All Fields] AND ""graveolens""[All Fields]) OR ""anethum graveolens""[All Fields]', '""anethum graveolens""[MeSH Terms] OR (""anethum""[All Fields] AND ""graveolens""[All Fields]) OR ""anethum graveolens""[All Fields]']"	['anethum graveolens']
angelica	"['""angelica""[MeSH Terms] OR ""angelica""[All Fields] OR ""angelicae""[All Fields]', '""angelica""[MeSH Terms] OR ""angelica""[All Fields]']"	['angelica', 'angelicae']
angelica keiskei	"['(""angelica""[MeSH Terms] OR ""angelica""[All Fields] OR ""angelicae""[All Fields]) AND ""keiskei""[All Fields]', '(""angelica""[MeSH Terms] OR ""angelica""[All Fields]) AND keiskei[All Fields]']"	['angelica keiskei', 'angelicae keiskei']
anguilla	"['""anguilla""[MeSH Terms] OR ""anguilla""[All Fields] OR ""anguillae""[All Fields]', '""anguilla""[MeSH Terms] OR ""anguilla""[All Fields]']"	['anguilla', 'anguillae']
anguilliformes	"['""anguilliform""[All Fields] OR ""anguilliforms""[All Fields] OR ""eels""[MeSH Terms] OR ""eels""[All Fields] OR ""anguilliformes""[All Fields]', '""eels""[MeSH Terms] OR ""eels""[All Fields] OR ""anguilliformes""[All Fields]']"	['anguilliform', 'anguilliformes', 'anguilliforms', 'eels']
anise	"['""pimpinella""[MeSH Terms] OR ""pimpinella""[All Fields] OR ""anise""[All Fields]', '""pimpinella""[MeSH Terms] OR ""pimpinella""[All Fields] OR ""anise""[All Fields]']"	['anise', 'pimpinella']
annona cherimola	"['""annona""[MeSH Terms] OR ""annona""[All Fields] OR (""annona""[All Fields] AND ""cherimola""[All Fields]) OR ""annona cherimola""[All Fields]', '""annona""[MeSH Terms] OR ""annona""[All Fields] OR (""annona""[All Fields] AND ""cherimola""[All Fields]) OR ""annona cherimola""[All Fields]']"	['annona', 'annona cherimola']
annona muricata	"['(""annona""[MeSH Terms] OR ""annona""[All Fields] OR ""annonas""[All Fields]) AND ""muricata""[All Fields]', '(""annona""[MeSH Terms] OR ""annona""[All Fields]) AND muricata[All Fields]']"	['annona muricata', 'annonas muricata']
annona reticulata	"['(""annona""[MeSH Terms] OR ""annona""[All Fields] OR ""annonas""[All Fields]) AND ""reticulata""[All Fields]', '(""annona""[MeSH Terms] OR ""annona""[All Fields]) AND reticulata[All Fields]']"	['annona reticulata', 'annonas reticulata']
annona squamosa	"['(""annona""[MeSH Terms] OR ""annona""[All Fields] OR ""annonas""[All Fields]) AND ""squamosa""[All Fields]', '(""annona""[MeSH Terms] OR ""annona""[All Fields]) AND squamosa[All Fields]']"	['annona squamosa', 'annonas squamosa']
annual wild rice	"['(""annual""[All Fields] OR ""annuality""[All Fields] OR ""annualized""[All Fields] OR ""annually""[All Fields] OR ""annuals""[All Fields]) AND ""wild""[All Fields] AND (""oryza""[MeSH Terms] OR ""oryza""[All Fields] OR ""rice""[All Fields])', 'annual[All Fields] AND wild[All Fields] AND (""oryza""[MeSH Terms] OR ""oryza""[All Fields] OR ""rice""[All Fields])']"	['annual wild oryza', 'annual wild rice', 'annuality wild oryza', 'annuality wild rice', 'annualized wild oryza', 'annualized wild rice', 'annually wild oryza', 'annually wild rice', 'annuals wild oryza', 'annuals wild rice']
anoplopoma fimbria	"['""anoplopoma""[All Fields] AND (""fimbriae, bacterial""[MeSH Terms] OR (""fimbriae""[All Fields] AND ""bacterial""[All Fields]) OR ""bacterial fimbriae""[All Fields] OR ""fimbriae""[All Fields] OR ""fimbrias""[All Fields] OR ""fornix, brain""[MeSH Terms] OR (""fornix""[All Fields] AND ""brain""[All Fields]) OR ""brain fornix""[All Fields] OR ""fimbria""[All Fields])', 'anoplopoma[All Fields] AND (""fornix, brain""[MeSH Terms] OR (""fornix""[All Fields] AND ""brain""[All Fields]) OR ""brain fornix""[All Fields] OR ""fimbria""[All Fields])']"	['anoplopoma bacterial fimbriae', 'anoplopoma brain fornix', 'anoplopoma fimbria', 'anoplopoma fimbriae', 'anoplopoma fimbriae bacterial', 'anoplopoma fimbriae, bacterial', 'anoplopoma fimbrias', 'anoplopoma fornix brain', 'anoplopoma fornix, brain']
anser anser	"['(""geese""[MeSH Terms] OR ""geese""[All Fields] OR ""anser""[All Fields]) AND (""geese""[MeSH Terms] OR ""geese""[All Fields] OR ""anser""[All Fields])', '(""geese""[MeSH Terms] OR ""geese""[All Fields] OR ""anser""[All Fields]) AND (""geese""[MeSH Terms] OR ""geese""[All Fields] OR ""anser""[All Fields])']"	['anser anser', 'anser geese', 'geese anser', 'geese geese']
anthriscus cerefolium	"['""anthriscus""[All Fields] AND ""cerefolium""[All Fields]', 'anthriscus[All Fields] AND cerefolium[All Fields]']"	['anthriscus cerefolium']
apium graveolens	"['""apium""[MeSH Terms] OR ""apium""[All Fields] OR (""apium""[All Fields] AND ""graveolens""[All Fields]) OR ""apium graveolens""[All Fields]', '""apium""[MeSH Terms] OR ""apium""[All Fields] OR (""apium""[All Fields] AND ""graveolens""[All Fields]) OR ""apium graveolens""[All Fields]']"	['apium', 'apium graveolens']
apium graveolens var. dulce	"['""apium""[MeSH Terms] OR ""apium""[All Fields] OR (""apium""[All Fields] AND ""graveolens""[All Fields] AND ""var""[All Fields] AND ""dulce""[All Fields]) OR ""apium graveolens var dulce""[All Fields]', '""apium""[MeSH Terms] OR ""apium""[All Fields] OR (""apium""[All Fields] AND ""graveolens""[All Fields] AND ""var""[All Fields] AND ""dulce""[All Fields]) OR ""apium graveolens var dulce""[All Fields]']"	['apium', 'apium graveolens var dulce']
apium graveolens var. rapaceum	"['""apium""[MeSH Terms] OR ""apium""[All Fields] OR (""apium""[All Fields] AND ""graveolens""[All Fields] AND ""var""[All Fields] AND ""rapaceum""[All Fields]) OR ""apium graveolens var rapaceum""[All Fields]', '""apium""[MeSH Terms] OR ""apium""[All Fields] OR (""apium""[All Fields] AND ""graveolens""[All Fields] AND ""var""[All Fields] AND ""rapaceum""[All Fields]) OR ""apium graveolens var rapaceum""[All Fields]']"	['apium', 'apium graveolens var rapaceum']
apium graveolens var. secalinum	"['(""apium""[MeSH Terms] OR ""apium""[All Fields] OR (""apium""[All Fields] AND ""graveolens""[All Fields]) OR ""apium graveolens""[All Fields]) AND ""var""[All Fields] AND ""secalinum""[All Fields]', '(""apium""[MeSH Terms] OR ""apium""[All Fields] OR (""apium""[All Fields] AND ""graveolens""[All Fields]) OR ""apium graveolens""[All Fields]) AND var.[All Fields] AND secalinum[All Fields]']"	['apium graveolens var secalinum', 'apium graveolens var. secalinum', 'apium var secalinum', 'apium var. secalinum']
aplodinotus grunniens	"['""aplodinotus""[All Fields] AND ""grunniens""[All Fields]', 'aplodinotus[All Fields] AND grunniens[All Fields]']"	['aplodinotus grunniens']
apple	"['""apple s""[All Fields] OR ""malus""[MeSH Terms] OR ""malus""[All Fields] OR ""apple""[All Fields] OR ""apples""[All Fields]', '""malus""[MeSH Terms] OR ""malus""[All Fields] OR ""apple""[All Fields]']"	['apple', 'apple s', 'apples', 'malus']
apricot	"['""prunus armeniaca""[MeSH Terms] OR (""prunus""[All Fields] AND ""armeniaca""[All Fields]) OR ""prunus armeniaca""[All Fields] OR ""apricot""[All Fields] OR ""apricots""[All Fields]', '""prunus armeniaca""[MeSH Terms] OR (""prunus""[All Fields] AND ""armeniaca""[All Fields]) OR ""prunus armeniaca""[All Fields] OR ""apricot""[All Fields]']"	['apricot', 'apricots', 'prunus armeniaca']
arabica coffee	"['""coffea""[MeSH Terms] OR ""coffea""[All Fields] OR (""arabica""[All Fields] AND ""coffee""[All Fields]) OR ""arabica coffee""[All Fields]', '""coffea""[MeSH Terms] OR ""coffea""[All Fields] OR (""arabica""[All Fields] AND ""coffee""[All Fields]) OR ""arabica coffee""[All Fields]']"	['arabica coffee', 'coffea']
arachis hypogaea	"['""arachis""[MeSH Terms] OR ""arachis""[All Fields] OR (""arachis""[All Fields] AND ""hypogaea""[All Fields]) OR ""arachis hypogaea""[All Fields]', '""arachis""[MeSH Terms] OR ""arachis""[All Fields] OR (""arachis""[All Fields] AND ""hypogaea""[All Fields]) OR ""arachis hypogaea""[All Fields]']"	['arachis', 'arachis hypogaea']
archosargus probatocephalus	"['""archosargus""[All Fields] AND ""probatocephalus""[All Fields]', 'archosargus[All Fields] AND probatocephalus[All Fields]']"	['archosargus probatocephalus']
arctic blackberry	"['(""arctic regions""[MeSH Terms] OR (""arctic""[All Fields] AND ""regions""[All Fields]) OR ""arctic regions""[All Fields] OR ""arctic""[All Fields] OR ""arctic s""[All Fields]) AND (""blackberrys""[All Fields] OR ""rubus""[MeSH Terms] OR ""rubus""[All Fields] OR ""blackberries""[All Fields] OR ""blackberry""[All Fields])', '(""arctic regions""[MeSH Terms] OR (""arctic""[All Fields] AND ""regions""[All Fields]) OR ""arctic regions""[All Fields] OR ""arctic""[All Fields]) AND (""rubus""[MeSH Terms] OR ""rubus""[All Fields] OR ""blackberry""[All Fields])']"	['arctic blackberries', 'arctic blackberry', 'arctic blackberrys', 'arctic regions blackberries', 'arctic regions blackberry', 'arctic regions blackberrys', 'arctic regions rubus', 'arctic rubus', 'arctic s blackberries', 'arctic s blackberry', 'arctic s blackberrys', 'arctic s rubus']
arctium lappa	"['""arctium""[MeSH Terms] OR ""arctium""[All Fields] OR (""arctium""[All Fields] AND ""lappa""[All Fields]) OR ""arctium lappa""[All Fields]', '""arctium""[MeSH Terms] OR ""arctium""[All Fields] OR (""arctium""[All Fields] AND ""lappa""[All Fields]) OR ""arctium lappa""[All Fields]']"	['arctium', 'arctium lappa']
armoracia rusticana	"['""armoracia""[MeSH Terms] OR ""armoracia""[All Fields] OR (""armoracia""[All Fields] AND ""rusticana""[All Fields]) OR ""armoracia rusticana""[All Fields]', '""armoracia""[MeSH Terms] OR ""armoracia""[All Fields] OR (""armoracia""[All Fields] AND ""rusticana""[All Fields]) OR ""armoracia rusticana""[All Fields]']"	['armoracia', 'armoracia rusticana']
arrowhead	"['""sagittaria""[MeSH Terms] OR ""sagittaria""[All Fields] OR ""arrowhead""[All Fields] OR ""arrowheads""[All Fields]', '""sagittaria""[MeSH Terms] OR ""sagittaria""[All Fields] OR ""arrowhead""[All Fields]']"	['arrowhead', 'arrowheads', 'sagittaria']
arrowroot	"['""marantaceae""[MeSH Terms] OR ""marantaceae""[All Fields] OR ""arrowroot""[All Fields]', '""marantaceae""[MeSH Terms] OR ""marantaceae""[All Fields] OR ""arrowroot""[All Fields]']"	['arrowroot', 'marantaceae']
